"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","1","300 Ring Road, Block CB, Naraina Village, Naraina, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",834,620,1121
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","2","Unnamed Road, Delhi Cantonment, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1051,819,1347
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","3","Unnamed Road, Mahipalpur, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2065,1726,2469
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","4","P-268/3, Rock View, Delhi Cantonment, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2243,1866,2695
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","5","Old Palam Road, Delhi Cantonment, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2457,2010,3002
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","8","Mall Road, Khyber Lines, Delhi Cantonment, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1361,1059,1747
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","9","Mahatma Jyothi Rao Phule Marg, Mahatma Jyoti Rao Phule Marg Area, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1553,1105,2181
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","10","0 Shaheed Bhagat Singh Marg, DIZ Staff Quarters, Connaught Place, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1253,926,1694
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","11","Mother Teresa Crescent, Talkatora Garden, Central Ridge Reserve Forest, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1141,819,1589
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","12","Jantar Mantar Road, Janpath, Connaught Place, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1432,1063,1928
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","13","10, Aurangzeb Road, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1905,1324,2739
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","14","Mahatma Gandhi Road, Kidwai Nagar West, Kidwai Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2029,1715,2400
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","15","H205, Block H, Sarojini Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1849,1565,2183
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","16","Andre Malraux Marg, Ramnagar, Chanakyapuri, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1446,1113,1877
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","19","Mirdard Road, 64 Khamba, Maulana Azad Medical College Campus, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1631,1165,2282
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","24","268, Block B2, Shiv Nagar, Janakpuri, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1225,876,1712
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","26","A3-214, Asalatpur Village, Janakpuri, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1305,1128,1509
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","61","Unnamed Road, National Zoological Park, Sundar Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2208,1610,3027
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","62","D/116, Jeewan Nagar, Sunlight Colony, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2650,1812,3874
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","63","Jawaharlal Nehru Stadium Marg, CGO Complex, Pragati Vihar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2268,1754,2930
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","64","6/37, Vikram Vihar, Lajpat Nagar IV, Lajpat Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2730,2165,3441
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","65","Shaheed Jeet Singh Marg, NCERT Campus, Qutab Institutional Area, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2765,2442,3130
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","67","63/33, Hudco Place, Andrews Ganj Extension, Andrews Ganj, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2556,2069,3157
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","68","0 Paschimi Marg, Block E, Vasant Vihar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2337,2000,2730
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","69","1129, Sector 2 R K Puram, Sector 2, RK Puram, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2266,1930,2660
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","70","G288, Sector 3, Block G, Nanak Pura, South Moti Bagh, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1484,1124,1958
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","71","JNU Ring Road, Jawaharlal Nehru University, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2658,2308,3060
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","84","nullMathura Road, Friends Colony West, Block A, New Friends Colony, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",3131,2495,3928
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","91","nullTum Road, Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Area, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",3469,2652,4537
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1052,773,1429
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","103","nullDasghara Road, Dasghara, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",486,155,1522
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","104","nullArya Samaj Marg, Block A1, Block EA, Inder Puri, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",491,345,698
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","105","nullGoswami Girdhari Lal Marg, Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",720,512,1011
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","111","61 TO 80, Pocket J, Sarita Vihar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",3270,2624,4074
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","121","22/55, West Punjabi Bagh, Punjabi Bagh, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",596,311,1141
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","122","2600 Mandir Wali Gali, Ranjeet Nagar, Shadipur, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",169,85,332
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","123","Loknath Marg, Block M, Kirti Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",373,191,725
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","124","30, 31, Block B, Mansarover Garden, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",632,454,878
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","135","0 Uggarsen Market Road, Meenakshi Garden, Ashok Nagar, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1135,770,1672
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","146","nullKotla Road, Pocket F2, Pocket 1, Sector 11F, Rohini, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2282,1506,3456
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","159","300 Maharishi Balmiki Mandir Marg, Block H, Shakurpur Colony, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",828,504,1359
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","160","23, Shiva Enclave, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1035,664,1611
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","161","nullLawrence Road, Rampura Industrial Area, Tri Nagar, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",725,414,1268
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","163","0 Guru Harkishan Marg, Maulana Azad Society, Bhagwan Buddha Housing Corporation Society, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1321,813,2146
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","164","Shakurbasti Pedestrian Foot Over Bridge, Shakur Basti Railway Colony, Railway Colony South, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",740,425,1288
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","169","G-9, Block F 1U, Ranikhet, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1657,1102,2490
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","170","nullColony Road, Block QP, Poorvi Pitampura, Pitampura, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1199,715,2008
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","171","nullG Block Road, Pocket 21, Sector 7G, Rohini, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1468,1110,1940
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","172","nullShiva Road, Pocket 14, Sector 8D, Rohini, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1414,1012,1974
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","173","Unnamed Road, Swarn Jayanti Park, Sector 10, Rohini, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1878,1171,3011
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","176","B7-187, Pocket 7, Sector 3B, Rohini, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",1458,1021,2080
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","193","Unnamed Road, Usmanpur, Shahdara, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",2060,1598,2655
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","199","0 Shivaji Marg, New Moti Nagar, Najafgarh Road Industrial Area, Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",575,209,1578
"205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","204","0 East Patel Nagar Road, Block 10A, East Patel Nagar, Patel Nagar, New Delhi","11/8/2016 - 11/8/2016, Every day, AM Peak",346,227,526
