"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","2","Unnamed Road, Delhi Cantonment, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1188,647,2178
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","3","Unnamed Road, Mahipalpur, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1783,1426,2228
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","4","P-268/3, Rock View, Delhi Cantonment, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1611,1230,2108
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","5","Old Palam Road, Delhi Cantonment, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1506,1146,1977
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","6","Unnamed Road, CVD Line, Delhi Cantonment, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",947,646,1388
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","7","P 13, Baird Place, Delhi Cantonment, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1068,758,1502
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","8","Mall Road, Khyber Lines, Delhi Cantonment, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1480,1021,2143
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","11","Mother Teresa Crescent, Talkatora Garden, Central Ridge Reserve Forest, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1822,1429,2322
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","14","Mahatma Gandhi Road, Kidwai Nagar West, Kidwai Nagar, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",2146,1647,2796
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","16","Andre Malraux Marg, Ramnagar, Chanakyapuri, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1788,1367,2338
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","24","268, Block B2, Shiv Nagar, Janakpuri, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",875,558,1372
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","26","A3-214, Asalatpur Village, Janakpuri, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",309,92,1031
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","27","0 Ram Mandir Marg, C5B Block, Janakpuri, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",595,340,1038
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","29","Street Number 14, Block C, Sitapuri Part 1, Janakpuri, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",513,260,1011
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","31","Main Jhatikra Road, Paprawat, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1628,1356,1953
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","32","METRO MALL, Pocket 1, Sector 14 Dwarka, Dwarka, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",976,645,1475
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","64","6/37, Vikram Vihar, Lajpat Nagar IV, Lajpat Nagar, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",2580,2161,3079
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","67","63/33, Hudco Place, Andrews Ganj Extension, Andrews Ganj, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",2458,2062,2928
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","70","G288, Sector 3, Block G, Nanak Pura, South Moti Bagh, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1848,1412,2417
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","123","Loknath Marg, Block M, Kirti Nagar, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1564,1107,2209
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","124","30, 31, Block B, Mansarover Garden, New Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",1478,1068,2045
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","125","Shaheed Chander Shekhar Azad Marg, Laxmi Park, Ranhola Extesion, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",992,729,1349
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","135","0 Uggarsen Market Road, Meenakshi Garden, Ashok Nagar, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",960,597,1541
"28","nullSchool Road, Block M, Uttam Nagar, Delhi","137","nullRoad Number 235, Block H, Vikaspuri, Delhi","11/5/2016 - 11/5/2016, Every day, AM Peak",763,464,1253
